Leto,Zmagovalna_ekipa,Liga_poskusi_3p,Liga_zadetki_3p,Liga_odstotek_3p,Liga_poskusi_2p,Liga_zadetki_2p,Liga_odstotek_2p,Liga_poskusi_PM,Liga_zadetki_PM,Liga_odstotek_PM,Liga_tocke,Liga_napadalni_skoki,Liga_delez_0_3,Liga_delez_10_16,Liga_delez_16_3p,Prvak_poskusi_3p,Prvak_odstotek_3p,Prvak_poskusi_2p,Prvak_tocke,Prvak_napadalni_skoki,Prvak_delez_0_3,Prvak_delez_10_16,Prvak_delez_16_3p
2000,Los Angeles Lakers,13.7,4.8,0.353,68.4,32.0,0.468,25.3,19.0,0.75,97.5,12.4,0.256,0.161,0.228,12.8,0.329,70.6,100.8,13.6,0.269,0.14,0.202
2001,Los Angeles Lakers,13.7,4.8,0.354,66.9,30.8,0.461,24.9,18.6,0.748,94.8,12.0,0.273,0.158,0.232,15.5,0.344,66.0,100.6,13.2,0.285,0.137,0.201
2002,Los Angeles Lakers,14.7,5.2,0.354,66.5,31.0,0.465,23.8,17.9,0.752,95.5,12.2,0.287,0.153,0.23,17.5,0.354,65.9,101.3,12.5,0.28,0.137,0.206
2003,San Antonio Spurs,14.7,5.1,0.349,66.1,30.6,0.463,24.4,18.5,0.758,95.1,12.0,0.286,0.146,0.236,15.5,0.354,61.3,95.8,11.5,0.313,0.133,0.163
2004,Detroit Pistons,14.9,5.2,0.347,64.9,29.8,0.46,24.2,18.2,0.752,93.4,12.1,0.297,0.141,0.229,11.8,0.344,65.2,90.1,12.4,0.34,0.175,0.179
2005,San Antonio Spurs,15.8,5.6,0.356,64.6,30.3,0.47,26.1,19.7,0.756,97.2,12.0,0.304,0.129,0.236,17.0,0.363,61.6,96.2,12.0,0.293,0.118,0.173
2006,Miami Heat,16.0,5.7,0.358,63.0,30.1,0.478,26.3,19.6,0.745,97.0,11.2,0.309,0.119,0.236,17.6,0.345,59.9,99.9,10.5,0.34,0.094,0.177
2007,San Antonio Spurs,16.9,6.1,0.358,62.8,30.5,0.485,26.1,19.6,0.752,98.7,11.1,0.314,0.113,0.229,19.0,0.381,58.1,98.5,9.3,0.288,0.107,0.204
2008,Boston Celtics,18.1,6.6,0.362,63.4,30.7,0.484,24.9,18.8,0.755,99.9,11.2,0.308,0.111,0.235,19.1,0.381,57.6,100.5,10.1,0.32,0.102,0.211
2009,Los Angeles Lakers,18.1,6.6,0.367,62.8,30.5,0.485,24.7,19.1,0.771,100.0,11.0,0.314,0.111,0.227,18.5,0.361,66.6,106.9,12.4,0.32,0.119,0.196
2010,Los Angeles Lakers,18.1,6.4,0.355,63.6,31.3,0.492,24.5,18.6,0.759,100.4,11.0,0.32,0.11,0.218,19.0,0.341,64.8,101.7,11.9,0.311,0.121,0.191
2011,Dallas Mavericks,18.0,6.5,0.358,63.2,30.8,0.487,24.4,18.6,0.763,99.6,10.9,0.276,0.11,0.214,21.6,0.365,57.3,100.2,9.5,0.24,0.125,0.199
2012,Miami Heat,18.4,6.4,0.349,63.0,30.1,0.477,22.5,16.9,0.752,96.3,11.4,0.287,0.11,0.208,15.6,0.359,63.4,98.5,10.4,0.309,0.119,0.218
